Year,Month,Day,Fractional year,Modulation potential [MV]
1964,1,1,1964,574.9
1964,1,2,1964.002732,592.3
1964,1,3,1964.005464,607.8
1964,1,4,1964.008197,609.6
1964,1,5,1964.010929,600.7
1964,1,6,1964.013661,593.2
1964,1,7,1964.016393,573
1964,1,8,1964.019126,568.1
1964,1,9,1964.021858,579.7
1964,1,10,1964.02459,586.4
1964,1,11,1964.027322,590.9
1964,1,12,1964.030055,585.1
1964,1,13,1964.032787,557.6
1964,1,14,1964.035519,599.2
1964,1,15,1964.038251,579.1
1964,1,16,1964.040984,585.3
1964,1,17,1964.043716,567.1
1964,1,18,1964.046448,562.9
1964,1,19,1964.04918,572
1964,1,20,1964.051913,565.9
1964,1,21,1964.054645,545.6
1964,1,22,1964.057377,547.4
1964,1,23,1964.060109,566.5
1964,1,24,1964.062842,574.4
1964,1,25,1964.065574,578.2
1964,1,26,1964.068306,568.4
1964,1,27,1964.071038,532.1
1964,1,28,1964.07377,556
1964,1,29,1964.076503,580.9
1964,1,30,1964.079235,583.3
1964,1,31,1964.081967,587.2
1964,2,1,1964.084699,588.5
1964,2,2,1964.087432,585.9
1964,2,3,1964.090164,578.7
1964,2,4,1964.092896,587
1964,2,5,1964.095628,596.2
1964,2,6,1964.098361,588.5
1964,2,7,1964.101093,583.5
1964,2,8,1964.103825,587.8
1964,2,9,1964.106557,574.7
1964,2,10,1964.10929,583.6
1964,2,11,1964.112022,575
1964,2,12,1964.114754,572.4
1964,2,13,1964.117486,578.1
1964,2,14,1964.120219,588
1964,2,15,1964.122951,598.3
1964,2,16,1964.125683,609.6
1964,2,17,1964.128415,600.3
1964,2,18,1964.131148,585.2
1964,2,19,1964.13388,579.4
1964,2,20,1964.136612,583.2
1964,2,21,1964.139344,588.6
1964,2,22,1964.142077,588.1
1964,2,23,1964.144809,582.2
1964,2,24,1964.147541,574.9
1964,2,25,1964.150273,573
1964,2,26,1964.153005,572.7
1964,2,27,1964.155738,576.2
1964,2,28,1964.15847,569
1964,2,29,1964.161202,578.5
1964,3,1,1964.163934,563.1
1964,3,2,1964.166667,558
1964,3,3,1964.169399,556.2
1964,3,4,1964.172131,561.9
1964,3,5,1964.174863,562.3
1964,3,6,1964.177596,561.5
1964,3,7,1964.180328,556.9
1964,3,8,1964.18306,554.7
1964,3,9,1964.185792,556.2
1964,3,10,1964.188525,535.2
1964,3,11,1964.191257,545
1964,3,12,1964.193989,555.6
1964,3,13,1964.196721,551.9
1964,3,14,1964.199454,555.2
1964,3,15,1964.202186,545.7
1964,3,16,1964.204918,552.2
1964,3,17,1964.20765,554.6
1964,3,18,1964.210383,558.5
1964,3,19,1964.213115,562.1
1964,3,20,1964.215847,559.4
1964,3,21,1964.218579,553.1
1964,3,22,1964.221311,567.8
1964,3,23,1964.224044,559.6
1964,3,24,1964.226776,555.7
1964,3,25,1964.229508,560.6
1964,3,26,1964.23224,566.6
1964,3,27,1964.234973,559.1
1964,3,28,1964.237705,552
1964,3,29,1964.240437,550.6
1964,3,30,1964.243169,541.1
1964,3,31,1964.245902,548.2
1964,4,1,1964.248634,542.3
1964,4,2,1964.251366,542.9
1964,4,3,1964.254098,545.7
1964,4,4,1964.256831,535.8
1964,4,5,1964.259563,534.3
1964,4,6,1964.262295,539.1
1964,4,7,1964.265027,533.1
1964,4,8,1964.26776,531.5
1964,4,9,1964.270492,530.8
1964,4,10,1964.273224,531.3
1964,4,11,1964.275956,530.2
1964,4,12,1964.278689,525.3
1964,4,13,1964.281421,529.3
1964,4,14,1964.284153,552.2
1964,4,15,1964.286885,539.2
1964,4,16,1964.289617,540.2
1964,4,17,1964.29235,541.9
1964,4,18,1964.295082,543.9
1964,4,19,1964.297814,546.7
1964,4,20,1964.300546,544.9
1964,4,21,1964.303279,537.6
1964,4,22,1964.306011,547.6
1964,4,23,1964.308743,537.8
1964,4,24,1964.311475,538.4
1964,4,25,1964.314208,536.3
1964,4,26,1964.31694,542.7
1964,4,27,1964.319672,542
1964,4,28,1964.322404,552
1964,4,29,1964.325137,543.7
1964,4,30,1964.327869,538.1
1964,5,1,1964.330601,545.3
1964,5,2,1964.333333,541.6
1964,5,3,1964.336066,536.3
1964,5,4,1964.338798,526.5
1964,5,5,1964.34153,529.4
1964,5,6,1964.344262,534.4
1964,5,7,1964.346995,530.8
1964,5,8,1964.349727,531
1964,5,9,1964.352459,523.4
1964,5,10,1964.355191,535.2
1964,5,11,1964.357923,544.8
1964,5,12,1964.360656,541.3
1964,5,13,1964.363388,534.2
1964,5,14,1964.36612,541.5
1964,5,15,1964.368852,535.4
1964,5,16,1964.371585,541.5
1964,5,17,1964.374317,545.7
1964,5,18,1964.377049,538.4
1964,5,19,1964.379781,532.7
1964,5,20,1964.382514,526.6
1964,5,21,1964.385246,523.8
1964,5,22,1964.387978,524.8
1964,5,23,1964.39071,521.3
1964,5,24,1964.393443,528.3
1964,5,25,1964.396175,528.1
1964,5,26,1964.398907,530.9
1964,5,27,1964.401639,522.7
1964,5,28,1964.404372,524.8
1964,5,29,1964.407104,519.9
1964,5,30,1964.409836,512.8
1964,5,31,1964.412568,519.6
1964,6,1,1964.415301,526.4
1964,6,2,1964.418033,527.5
1964,6,3,1964.420765,526.7
1964,6,4,1964.423497,522.8
1964,6,5,1964.42623,523.2
1964,6,6,1964.428962,518.7
1964,6,7,1964.431694,515.9
1964,6,8,1964.434426,529.3
1964,6,9,1964.437158,544.7
1964,6,10,1964.439891,546.4
1964,6,11,1964.442623,547.1
1964,6,12,1964.445355,536.5
1964,6,13,1964.448087,537
1964,6,14,1964.45082,532.3
1964,6,15,1964.453552,530.5
1964,6,16,1964.456284,543.8
1964,6,17,1964.459016,535.1
1964,6,18,1964.461749,532
1964,6,19,1964.464481,540.3
1964,6,20,1964.467213,526.5
1964,6,21,1964.469945,538.2
1964,6,22,1964.472678,540.4
1964,6,23,1964.47541,531.3
1964,6,24,1964.478142,531.5
1964,6,25,1964.480874,528.7
1964,6,26,1964.483607,531.3
1964,6,27,1964.486339,522.2
1964,6,28,1964.489071,526.4
1964,6,29,1964.491803,523.9
1964,6,30,1964.494536,527.2
1964,7,1,1964.497268,518.2
1964,7,2,1964.5,519.2
1964,7,3,1964.502732,527.1
1964,7,4,1964.505464,528.4
1964,7,5,1964.508197,532.5
1964,7,6,1964.510929,525.9
1964,7,7,1964.513661,529.4
1964,7,8,1964.516393,539.7
1964,7,9,1964.519126,540.9
1964,7,10,1964.521858,538.6
1964,7,11,1964.52459,535
1964,7,12,1964.527322,535.3
1964,7,13,1964.530055,540
1964,7,14,1964.532787,537.4
1964,7,15,1964.535519,530
1964,7,16,1964.538251,532
1964,7,17,1964.540984,534.7
1964,7,18,1964.543716,544.1
1964,7,19,1964.546448,551.2
1964,7,20,1964.54918,548.1
1964,7,21,1964.551913,535.9
1964,7,22,1964.554645,533.2
1964,7,23,1964.557377,530.7
